UserID,Role,Round,totalRound,move,Total,roundResult,gameType
82362,player,1,1,33,100,SAFE,bomb_risk
82673,player,1,1,33,100,SAFE,bomb_risk
82674,player,1,1,33,100,SAFE,bomb_risk
82675,player,1,1,33,100,SAFE,bomb_risk
82677,player,1,1,33,100,SAFE,bomb_risk
82678,player,1,1,33,100,SAFE,bomb_risk
82680,player,1,1,33,100,SAFE,bomb_risk
82681,player,1,1,33,100,SAFE,bomb_risk
82682,player,1,1,33,100,SAFE,bomb_risk
82683,player,1,1,33,100,SAFE,bomb_risk
82687,player,1,1,33,100,SAFE,bomb_risk
82693,player,1,1,33,100,SAFE,bomb_risk
82697,player,1,1,33,100,SAFE,bomb_risk
82701,player,1,1,33,100,SAFE,bomb_risk
82702,player,1,1,33,100,SAFE,bomb_risk
82703,player,1,1,33,100,SAFE,bomb_risk
82704,player,1,1,33,100,SAFE,bomb_risk
82705,player,1,1,33,100,SAFE,bomb_risk
82707,player,1,1,33,100,SAFE,bomb_risk
82709,player,1,1,33,100,SAFE,bomb_risk
82714,player,1,1,33,100,SAFE,bomb_risk
82719,player,1,1,33,100,SAFE,bomb_risk
82720,player,1,1,33,100,SAFE,bomb_risk
82721,player,1,1,33,100,SAFE,bomb_risk
82722,player,1,1,33,100,SAFE,bomb_risk
82724,player,1,1,33,100,SAFE,bomb_risk
82727,player,1,1,33,100,SAFE,bomb_risk
82728,player,1,1,33,100,SAFE,bomb_risk
82731,player,1,1,33,100,SAFE,bomb_risk
82744,player,1,1,33,100,SAFE,bomb_risk
82745,player,1,1,33,100,SAFE,bomb_risk
82748,player,1,1,33,100,SAFE,bomb_risk
82754,player,1,1,33,100,SAFE,bomb_risk
82781,player,1,1,33,100,SAFE,bomb_risk
82783,player,1,1,33,100,SAFE,bomb_risk
82791,player,1,1,33,100,SAFE,bomb_risk
82804,player,1,1,33,100,SAFE,bomb_risk
82833,player,1,1,33,100,SAFE,bomb_risk
82850,player,1,1,33,100,SAFE,bomb_risk
82864,player,1,1,33,100,SAFE,bomb_risk
82866,player,1,1,33,100,SAFE,bomb_risk
82872,player,1,1,33,100,SAFE,bomb_risk
82890,player,1,1,33,100,SAFE,bomb_risk
82907,player,1,1,33,100,SAFE,bomb_risk
82969,player,1,1,33,100,SAFE,bomb_risk
82972,player,1,1,33,100,SAFE,bomb_risk
82974,player,1,1,33,100,SAFE,bomb_risk
82977,player,1,1,33,100,SAFE,bomb_risk
83104,player,1,1,33,100,SAFE,bomb_risk
83108,player,1,1,33,100,SAFE,bomb_risk
83139,player,1,1,33,100,SAFE,bomb_risk
83140,player,1,1,33,100,SAFE,bomb_risk
83149,player,1,1,33,100,SAFE,bomb_risk
83152,player,1,1,33,100,SAFE,bomb_risk
83158,player,1,1,33,100,SAFE,bomb_risk
83161,player,1,1,33,100,SAFE,bomb_risk
83164,player,1,1,33,100,SAFE,bomb_risk
83183,player,1,1,33,100,SAFE,bomb_risk
83194,player,1,1,33,100,SAFE,bomb_risk
83246,player,1,1,33,100,SAFE,bomb_risk
83251,player,1,1,33,100,SAFE,bomb_risk
83305,player,1,1,33,100,SAFE,bomb_risk
83315,player,1,1,33,100,SAFE,bomb_risk
83317,player,1,1,33,100,SAFE,bomb_risk
83321,player,1,1,33,100,SAFE,bomb_risk
83324,player,1,1,33,100,SAFE,bomb_risk
83327,player,1,1,33,100,SAFE,bomb_risk
83334,player,1,1,33,100,SAFE,bomb_risk
83340,player,1,1,33,100,SAFE,bomb_risk
83363,player,1,1,33,100,SAFE,bomb_risk
83373,player,1,1,33,100,SAFE,bomb_risk
83386,player,1,1,33,100,SAFE,bomb_risk
83387,player,1,1,33,100,SAFE,bomb_risk
83391,player,1,1,33,100,SAFE,bomb_risk
83392,player,1,1,33,100,SAFE,bomb_risk
83394,player,1,1,33,100,SAFE,bomb_risk
83398,player,1,1,33,100,SAFE,bomb_risk
83400,player,1,1,33,100,SAFE,bomb_risk
83403,player,1,1,33,100,SAFE,bomb_risk
83406,player,1,1,33,100,SAFE,bomb_risk
83408,player,1,1,33,100,SAFE,bomb_risk
83417,player,1,1,33,100,SAFE,bomb_risk
83418,player,1,1,33,100,SAFE,bomb_risk
83425,player,1,1,33,100,SAFE,bomb_risk
83429,player,1,1,33,100,SAFE,bomb_risk
83507,player,1,1,33,100,SAFE,bomb_risk
83508,player,1,1,33,100,SAFE,bomb_risk
83509,player,1,1,33,100,SAFE,bomb_risk
83510,player,1,1,33,100,SAFE,bomb_risk
83511,player,1,1,33,100,SAFE,bomb_risk
83512,player,1,1,33,100,SAFE,bomb_risk
83513,player,1,1,33,100,SAFE,bomb_risk
83519,player,1,1,33,100,SAFE,bomb_risk
83520,player,1,1,33,100,SAFE,bomb_risk
83522,player,1,1,33,100,SAFE,bomb_risk
83524,player,1,1,33,100,SAFE,bomb_risk
83525,player,1,1,33,100,SAFE,bomb_risk
83529,player,1,1,33,100,SAFE,bomb_risk
83560,player,1,1,33,100,SAFE,bomb_risk
83561,player,1,1,33,100,SAFE,bomb_risk
83567,player,1,1,33,100,SAFE,bomb_risk
83624,player,1,1,33,100,SAFE,bomb_risk
83630,player,1,1,33,100,SAFE,bomb_risk
83636,player,1,1,33,100,SAFE,bomb_risk
83640,player,1,1,33,100,SAFE,bomb_risk
83643,player,1,1,33,100,SAFE,bomb_risk
83653,player,1,1,33,100,SAFE,bomb_risk
83656,player,1,1,33,100,SAFE,bomb_risk
83660,player,1,1,33,100,SAFE,bomb_risk
83675,player,1,1,33,100,SAFE,bomb_risk
83678,player,1,1,33,100,SAFE,bomb_risk
83722,player,1,1,33,100,SAFE,bomb_risk
83725,player,1,1,33,100,SAFE,bomb_risk
83728,player,1,1,33,100,SAFE,bomb_risk
83745,player,1,1,33,100,SAFE,bomb_risk
83762,player,1,1,33,100,SAFE,bomb_risk
83775,player,1,1,33,100,SAFE,bomb_risk
83777,player,1,1,33,100,SAFE,bomb_risk
83779,player,1,1,33,100,SAFE,bomb_risk
83806,player,1,1,33,100,SAFE,bomb_risk
83900,player,1,1,33,100,SAFE,bomb_risk
83918,player,1,1,33,100,SAFE,bomb_risk
83919,player,1,1,33,100,SAFE,bomb_risk
83957,player,1,1,33,100,SAFE,bomb_risk
84572,player,1,1,33,100,SAFE,bomb_risk
84730,player,1,1,33,100,SAFE,bomb_risk
84765,player,1,1,33,100,SAFE,bomb_risk
85961,player,1,1,33,100,SAFE,bomb_risk
459212,player,1,1,70,100,SAFE,bomb_risk
459232,player,1,1,80,100,BOMB,bomb_risk
459266,player,1,1,49,100,BOMB,bomb_risk
459289,player,1,1,44,100,BOMB,bomb_risk
459309,player,1,1,50,100,SAFE,bomb_risk
459419,player,1,1,20,100,SAFE,bomb_risk
459573,player,1,1,25,100,SAFE,bomb_risk
459667,player,1,1,44,100,SAFE,bomb_risk
459713,player,1,1,18,100,BOMB,bomb_risk
459880,player,1,1,25,100,SAFE,bomb_risk
459902,player,1,1,50,100,SAFE,bomb_risk
459905,player,1,1,42,100,SAFE,bomb_risk
459931,player,1,1,-1,100,BOMB,bomb_risk
459944,player,1,1,50,100,SAFE,bomb_risk
459973,player,1,1,50,100,SAFE,bomb_risk
459975,player,1,1,11,100,SAFE,bomb_risk
460033,player,1,1,50,100,BOMB,bomb_risk
464087,player,1,1,49,100,BOMB,bomb_risk
391928,player,1,1,35,100,SAFE,bomb_risk
392554,player,1,1,50,100,BOMB,bomb_risk
430649,player,1,1,34,100,BOMB,bomb_risk
