UserID,Role,Round,totalRound,Total,move,roundResult,gameType
89027,second,1,3,100,None,"[51, 49]",dictator
89027,second,2,3,100,None,"[54, 46]",dictator
89027,second,3,3,100,None,"[50, 50]",dictator
95194,second,1,1,100,None,"[100, 0]",dictator
95199,first,1,3,100,0,"[100, 0]",dictator
95199,first,2,3,100,0,"[100, 0]",dictator
95199,first,3,3,100,0,"[100, 0]",dictator
95318,first,1,3,100,50,"[50, 50]",dictator
95318,first,2,3,100,50,"[50, 50]",dictator
95318,first,3,3,100,2,"[98, 2]",dictator
95318,second,1,1,100,None,"[51, 49]",dictator
100412,second,1,3,100,None,"[97, 3]",dictator
100412,second,2,3,100,None,"[100, 0]",dictator
100412,second,3,3,100,None,"[100, 0]",dictator
100412,second,1,1,100,None,"[75, 25]",dictator
100477,first,1,1,100,36,"[64, 36]",dictator
100544,first,1,1,100,0,"[100, 0]",dictator
100568,second,1,3,100,None,"[80, 20]",dictator
100568,second,2,3,100,None,"[65, 35]",dictator
100568,second,3,3,100,None,"[51, 49]",dictator
100569,first,1,3,100,49,"[51, 49]",dictator
100569,first,2,3,100,46,"[54, 46]",dictator
100569,first,3,3,100,50,"[50, 50]",dictator
100579,first,1,3,100,48,"[52, 48]",dictator
100579,first,2,3,100,40,"[60, 40]",dictator
100579,first,3,3,100,50,"[50, 50]",dictator
100579,second,1,1,100,None,"[65, 35]",dictator
100595,second,1,3,100,None,"[56, 44]",dictator
100595,second,2,3,100,None,"[43, 57]",dictator
100595,second,3,3,100,None,"[55, 45]",dictator
109010,first,1,3,100,0,"[100, 0]",dictator
109010,first,2,3,100,0,"[100, 0]",dictator
109010,first,3,3,100,0,"[100, 0]",dictator
109010,first,1,1,100,0,"[100, 0]",dictator
109031,second,1,3,100,None,"[50, 50]",dictator
109031,second,2,3,100,None,"[52, 48]",dictator
109031,second,3,3,100,None,"[17, 83]",dictator
109032,first,1,3,100,46,"[54, 46]",dictator
109032,first,2,3,100,39,"[61, 39]",dictator
109032,first,3,3,100,0,"[100, 0]",dictator
109033,first,1,3,100,6,"[94, 6]",dictator
109033,first,2,3,100,16,"[84, 16]",dictator
109033,first,3,3,100,37,"[63, 37]",dictator
109041,second,1,3,100,None,"[100, 0]",dictator
109041,second,2,3,100,None,"[100, 0]",dictator
109041,second,3,3,100,None,"[100, 0]",dictator
109041,first,1,1,100,50,"[50, 50]",dictator
109125,second,1,3,100,None,"[60, 40]",dictator
109125,second,2,3,100,None,"[99, 1]",dictator
109125,second,3,3,100,None,"[1, 99]",dictator
109126,second,1,3,100,None,"[75, 25]",dictator
109126,second,2,3,100,None,"[75, 25]",dictator
109126,second,3,3,100,None,"[75, 25]",dictator
109126,first,1,1,100,50,"[50, 50]",dictator
109145,first,1,3,100,0,"[100, 0]",dictator
109145,first,2,3,100,0,"[100, 0]",dictator
109145,first,3,3,100,0,"[100, 0]",dictator
109145,first,1,1,100,0,"[100, 0]",dictator
109153,second,1,3,100,None,"[50, 50]",dictator
109153,second,2,3,100,None,"[50, 50]",dictator
109153,second,3,3,100,None,"[98, 2]",dictator
109153,second,1,1,100,None,"[80, 20]",dictator
109162,first,1,3,100,40,"[60, 40]",dictator
109162,first,2,3,100,40,"[60, 40]",dictator
109162,first,3,3,100,40,"[60, 40]",dictator
109162,first,1,1,100,20,"[80, 20]",dictator
109183,second,1,3,100,None,"[80, 20]",dictator
109183,second,2,3,100,None,"[70, 30]",dictator
109183,second,3,3,100,None,"[70, 30]",dictator
109183,first,1,1,100,50,"[50, 50]",dictator
109187,second,1,3,100,None,"[100, 0]",dictator
109187,second,2,3,100,None,"[100, 0]",dictator
109187,second,3,3,100,None,"[100, 0]",dictator
109187,first,1,1,100,50,"[50, 50]",dictator
109202,first,1,3,100,25,"[75, 25]",dictator
109202,first,2,3,100,25,"[75, 25]",dictator
109202,first,3,3,100,25,"[75, 25]",dictator
109202,first,1,1,100,25,"[75, 25]",dictator
109204,first,1,3,100,20,"[80, 20]",dictator
109204,first,2,3,100,35,"[65, 35]",dictator
109204,first,3,3,100,49,"[51, 49]",dictator
109210,second,1,3,100,None,"[100, 0]",dictator
109210,second,2,3,100,None,"[63, 37]",dictator
109210,second,3,3,100,None,"[56, 44]",dictator
109216,first,1,3,100,34,"[66, 34]",dictator
109216,first,2,3,100,0,"[100, 0]",dictator
109216,first,3,3,100,2,"[98, 2]",dictator
109266,second,1,3,100,None,"[50, 50]",dictator
109266,second,2,3,100,None,"[100, 0]",dictator
109266,second,3,3,100,None,"[100, 0]",dictator
109266,second,1,1,100,None,"[100, 0]",dictator
109270,second,1,3,100,None,"[30, 70]",dictator
109270,second,2,3,100,None,"[100, 0]",dictator
109270,second,3,3,100,None,"[100, 0]",dictator
109288,second,1,1,100,None,"[50, 50]",dictator
109308,second,3,3,100,None,"[59, 41]",dictator
109308,first,1,1,100,99,"[1, 99]",dictator
109345,second,1,3,100,None,"[60, 40]",dictator
109345,second,2,3,100,None,"[70, 30]",dictator
109345,second,3,3,100,None,"[100, 0]",dictator
109345,second,1,1,100,None,"[100, 0]",dictator
109347,first,1,3,100,40,"[60, 40]",dictator
109347,first,2,3,100,30,"[70, 30]",dictator
109347,first,3,3,100,0,"[100, 0]",dictator
109347,first,1,1,100,25,"[75, 25]",dictator
109422,first,1,3,100,40,"[60, 40]",dictator
109422,first,2,3,100,39,"[61, 39]",dictator
109422,first,3,3,100,40,"[60, 40]",dictator
109422,first,1,1,100,0,"[100, 0]",dictator
109425,second,1,3,100,None,"[51, 49]",dictator
109425,second,2,3,100,None,"[50, 50]",dictator
109425,second,3,3,100,None,"[75, 25]",dictator
109426,second,1,3,100,None,"[66, 34]",dictator
109426,second,2,3,100,None,"[100, 0]",dictator
109426,second,3,3,100,None,"[98, 2]",dictator
109435,second,1,3,100,None,"[71, 29]",dictator
109435,second,2,3,100,None,"[60, 40]",dictator
109435,second,3,3,100,None,"[66, 34]",dictator
109435,second,1,1,100,None,"[75, 25]",dictator
109456,first,1,3,100,20,"[80, 20]",dictator
109456,first,2,3,100,30,"[70, 30]",dictator
109456,first,3,3,100,30,"[70, 30]",dictator
109464,first,1,3,100,50,"[50, 50]",dictator
109464,first,2,3,100,0,"[100, 0]",dictator
109464,first,3,3,100,0,"[100, 0]",dictator
109464,second,1,1,100,None,"[1, 99]",dictator
109465,first,1,3,100,34,"[66, 34]",dictator
109465,first,2,3,100,41,"[59, 41]",dictator
109465,first,3,3,100,38,"[62, 38]",dictator
109469,second,1,3,100,None,"[60, 40]",dictator
109469,second,2,3,100,None,"[61, 39]",dictator
109469,second,3,3,100,None,"[60, 40]",dictator
109469,second,1,1,100,None,"[50, 50]",dictator
109476,second,1,3,100,None,"[50, 50]",dictator
109476,second,2,3,100,None,"[50, 50]",dictator
109476,second,3,3,100,None,"[50, 50]",dictator
109476,first,1,1,100,0,"[100, 0]",dictator
109760,first,1,3,100,70,"[30, 70]",dictator
109760,first,2,3,100,0,"[100, 0]",dictator
109760,first,3,3,100,0,"[100, 0]",dictator
110291,second,1,3,100,None,"[75, 25]",dictator
110291,second,2,3,100,None,"[75, 25]",dictator
110291,second,3,3,100,None,"[65, 35]",dictator
110711,first,1,3,100,50,"[50, 50]",dictator
110711,first,2,3,100,50,"[50, 50]",dictator
110711,first,3,3,100,50,"[50, 50]",dictator
110874,first,1,3,100,50,"[50, 50]",dictator
110874,first,2,3,100,80,"[20, 80]",dictator
110874,first,3,3,100,50,"[50, 50]",dictator
110966,first,1,3,100,53,"[47, 53]",dictator
