UserID,dictator,ultimatum_1,ultimatum_2,trust_1,trust_3,PG,bomb
131074,,,,,,,
131075,,,,,,,
131078,,,,,,,
131079,,,,,,,
131080,,,,,,,
131082,50.0,,,50.0,,16,
131089,,,,,,,
131090,,,,,,19,
131091,,48,44,,,,
521035,,,,,,,6
393243,,,,,,,40
262173,,,,,,,50
131102,,,,,,,
131103,,,,,,,
131104,,,,,,,
393248,,,,,,,33
262183,,,,,,,
262184,,,,,,,
393257,25.0,,,,,10,
131111,,,,,,,
131112,,,,,,,
131115,,,,,,,
131117,,,,,,,
262192,,,,,,,60
131122,,,,,,,
131127,,,,,,,
131128,,,,,,20,
393274,35.0,,,,,,
131130,,,,,,,
131131,,,,,,,
393279,,,,,,,0
393280,,,,,,20,
393281,,,,,,20,
393282,,,,,,20,
393283,,,,,,17,
393284,,,,,,11,
393285,,,,,,16,
131142,,,,,,,
131140,,,,,,0,
393288,,,,,,12,
131139,,,,,,,74
393290,,,,,,16,
393291,,,,,,5,
393293,,,,,,20,
393295,,,,,,17,
393296,,,,,,16,
131153,,,,,,,
393297,,,,,,18,
393298,,,,,,13,
393299,,,,,,20,
393300,,,,,,14,
131158,,,,,,,
393301,,,,,,20,
131160,,,,,,,
393302,,,,,,20,
393303,,,,,,20,
393304,,,,,,5,
393305,,,,,,20,
393306,,,,,,20,
393308,,,,,,20,
393309,,,,,,20,
393310,,,,,,20,
393311,,,,,,20,
131170,,,,,,,
131171,,,,,,,
393312,,,,,,15,
393313,,,,,,18,
393314,,,,,,20,
393316,,,,,,11,
393317,,,,,,20,
393318,,,,,,20,
393319,,,,,,16,
393321,,,,,,20,
393322,,,,,,20,
393323,,,,,,16,
393324,,,,,,20,
131178,,,,,,,74
131183,,,,,,,74
524410,,,,,,0,60
524418,,,,,,20,85
524419,,,,,,10,33
131206,,50,50,,,,74
131208,,,,,,,
521059,,,,,,,1
131215,,,,,,,33
131222,,45,35,,,,
131227,,,,,,,
393371,,,,,,0,
393372,,,,,,13,
393373,,,,,,4,
393374,,,,,,15,
393375,,,,,,20,
131233,,,,,,,
393376,,,,,,10,
131235,,,,,,,
521064,,,,,,,
262307,,,,,,,
393378,,,,,,0,
131239,,,,,,,
393380,,,,,,20,
393381,,,,,,20,
393382,,,,,,10,
393383,,,,,,7,
393385,,,,,,5,
393386,,,,,,15,
393387,,,,,,10,
393388,,,,,,20,
393389,,,,,,20,
262321,,50,30,10.0,,0,
393390,,,,,,12,
393391,,,,,,12,
131252,,,,,,,
393392,,,,,,10,
131254,,,,,,,
393400,,,,,,20,
393401,,,,,,20,
131260,45.0,,,,,,
393407,,,,,,4,
393410,,,,,,20,
393412,,,,,,5,
131270,,20,20,,,,
393415,,,,,,7,
393416,,,,,,8,
131274,,,,,,,
393419,,,,,,20,
393420,,,,,,20,
393421,,,,,,12,
521072,,,,,,,57
393423,,,,,,20,
393425,,,,,,15,
131283,,,,,,,
393433,,,,,,,
393434,40.0,,,50.0,,8,39
131292,,40,1,,,,
393438,30.0,,,90.0,,5,
393440,,,,,,20,
393445,,,,,,20,
131303,,,,,,,10
232,,,,50.0,,,
131306,,,,,,,
524525,,,,,,5,85
524526,,,,,,0,
262383,,,,7.0,,,
393454,,,,,,,25
393459,,,,,,,52
393463,,,,,,,0
393468,,,,,,3,
393469,55.0,,,100.0,,,
393470,,,,30.0,,20,80
393471,,,,,,,0
393472,50.0,,,,,10,50
393473,,,,,,15,50
393474,,,,,,4,68
393477,3.0,,,100.0,,20,72
393480,,,,,,8,47
393481,,,,,,,50
393489,50.0,,,,,12,
131351,,,,100.0,,4,
262425,,,,,,,
131355,,,,,,,
284,,,,,100,,
285,,,,50.0,,10,
262431,0.0,50,50,10.0,,,80
131359,,,,,,,10
131365,,,,,,,
131367,,,,,,20,
524586,,,,,,0,0
131375,,,,,,,
131379,,,,,,,
131380,,,,,,,
131382,,45,40,,,0,
131384,,,,,,,
131385,,,,,,,
442939,,,,,,,60
131394,,,,,,,
131396,,,,,,,
524612,,,,,,10,55
524615,,,,,,10,4
524617,,,,,,15,16
131404,,,,,,,
524620,,,,,,1,40
524623,,,,,,6,100
524625,,,,,,4,29
393556,,,,,,,38
524636,,,,,,0,36
393588,,,,,,,30
131445,,,,,,,69
524666,,,,,,5,
524671,,,,10.0,110,,
524672,,,,30.0,,,
524673,,,,,50,,
524674,,,,25.0,,,
524675,,,,,,,
524676,,,,50.0,,,
524677,,,,17.0,,,
524678,,,,12.0,,,
524679,,,,20.0,,,
524680,,,,,,,
524681,,,,20.0,,,
524682,,,,3.0,,,
524683,,,,3.0,,,
524684,,,,50.0,,,
524685,,,,40.0,,,
524686,,,,5.0,,,
524687,,,,10.0,,,
524688,,,,0.0,25,,
524689,,,,10.0,,,
524690,,,,50.0,,,
262547,,,,,,,
262548,,,,,,,
262549,,,,,,,69
524691,,,,10.0,,,
524692,,,,13.0,,,
524693,,,,30.0,,,
524694,,,,20.0,,,
524695,,,,,,,
524696,,,,3.0,,,
524697,,,,33.0,0,,
524698,,,,20.0,,,
524699,,,,,,,
524700,,,,20.0,,,
524701,,,,4.0,,,
524702,,,,0.0,,,
524703,,,,15.0,,,
524704,,,,20.0,,,
524705,,,,34.0,,,
524706,,,,41.0,,,
524707,,,,12.0,,,
524708,,,,,,,
524709,,,,5.0,,,
524710,,,,24.0,,,
131490,,,,,,,
131497,,,,,,,
131499,,,,,,,
131500,,,,,,,
524714,,,,,,,1
393642,,,,,,,70
131504,,,,,,,
393650,,,,,,,41
393651,,,,,,,30
393652,,,,,,20,
393653,,,,,,,75
393655,,,,,,,65
393656,,,,,,,56
131517,,,,,,,75
262590,,,,,,,
393665,,,,,,,70
131522,,,,,,,
131523,,,,,,,48
393666,,,,,,,40
262597,,,,100.0,,10,
262598,,,,100.0,,,
393671,,,,0.0,,16,51
524742,,,,,,20,36
393670,,,,,,,100
262602,,,,100.0,,20,
393675,,,,,,,27
131533,,,,,,,
393677,,,,,,,30
393678,,,,,,,64
393681,1.0,,,,,12,
131537,,,,,,,
262612,,,,,,,0
393686,,,,,,,50
524763,,,,,,10,30
131550,,0,0,,,,
131551,,,,,,,
524767,,,,,,3,63
393699,,,,,,,10
524780,,,,,,,34
393708,,,,,,,30
393710,1.0,,,,,20,
262639,,,,,,,
524783,,,,,,3,50
131569,,,,,,,
131570,,,,,,,
393715,,,,,,,33
393709,,,,,,,59
131573,,,,,,,
131576,,,,,,,
131577,,,,,,20,
131580,,,,,,,
131581,,,,,,,
524799,,,,,,5,
131584,,,,,,20,
131585,,,,,,,
131583,,,,,,,10
393732,,,,,,16,
131589,40.0,,,,,,
131591,,,,,,,
131592,,,,,,,
131593,,,,,,,
393737,,,,,,,100
131595,,,,,,,
131596,,,,,,,
393742,,,,,,,65
131599,,,,,,,
131600,,,,,,,
393743,,,,,,,69
131602,,,,,,,
131603,,,,,,10,
524820,,,,,,0,50
524821,,,,,,5,
524822,,,,,,1,68
131607,,,,,,,
131608,,,,,,,
524823,,,,,,3,50
524824,,,,,,6,5
524825,,,,,,2,12
524826,,,,,,0,36
524827,,,,,,10,
524828,,,,,,1,
524829,,,,,,20,
524830,,,,,,6,42
524831,,,,,,2,53
524832,,,,,,0,19
524833,,,,,,0,70
524834,,,,,,4,
524835,,,,,,,39
393766,,,,,,,56
393767,,,,,,,42
393769,,,,,,,50
393773,,,,,,,50
393776,,,,,,,
131633,,,,,,,40
393785,,,,,,,18
262714,,,,,,5,
262715,,,,,,,
393787,,,,,,,
131643,,,,,,,33
131642,,,,,,,69
393786,,,,,,,0
393789,,,,,,,66
393795,,,,,,,69
262724,,,,,,5,
393797,,,,,,,0
393801,,,,,,,80
393804,,,,,,,43
393805,,,,,,,69
393808,,,,,,,40
393815,,,,,,,50
393818,,,,,,,10
131675,,,,,,,
393819,,,,,,,10
393821,,,,,,,0
131680,,,,,,20,
393824,,,,,,,99
393827,,,,,,,36
131687,,,,,,,
131688,,,,,,,
262759,,,,,,,
131690,,40,35,,,,
262763,,75,1,10.0,,0,
131691,,60,20,,,0,
131693,,40,40,,,20,
262762,,,,,,10,
131692,,,,,,20,
393831,,,,,,,35
393837,,,,,,,50
393839,,,,,,,20
131699,,,,,,,
131700,,,,,,,
393841,,,,,,,0
131702,,,,5.0,,0,
131703,,,,,,,
393842,,,,,,,100
131705,,,,,,,
393846,,,,,,,50
131707,,,,,,,
131709,,,,,,,
131710,,,,,,,
131711,,,,,,,10
131712,,,,,,,
131713,,,,,,,
131714,,,,,,,
131715,12.0,,,,,,
131716,,,,,,,
393857,,,,,,,64
131718,,,,,,20,
393859,,,,,,,43
131720,,,,,,,
393864,,,,,,,50
131724,,,,,,,
131728,,,,,,,
131729,,,,,,,
393873,,,,,,,50
393874,,,,,,,60
131733,,,,,,,
131734,,,,,,4,
131735,,,,,,,
131736,,,,,,,
131737,,,,,,,48
393877,,,,,,,68
131739,,,,,,,
393878,,,,,,,50
131741,,,,,,,
131742,,,,,,,
131743,,,,,,,
393880,,,,,,,40
131745,,,,,,,
131746,,,,,,,
131747,,,,,,,
393883,,,,,,,45
131749,,,,,,20,
393885,,,,,,,60
393887,,,,,,,30
393888,,,,,,,70
393891,,,,,,,40
131754,,,,,,,
131755,,,,,,,
131756,,,,,,,
131757,,,,,,,
131758,,,,,,,
131759,,,,,,,
131760,,,,,,,
393896,,,,,,,32
131762,,,,,,,
131763,,,,,,,
393903,,,,,,,32
393906,,,,,,,31
393908,,,,,,,80
393909,,,,,,,63
393910,,,,,,,50
393911,,,,,,,0
131770,,,,,,,
393915,,,,,,,56
393916,,,,,,,40
393917,,,,,,,0
131774,,,,,,,
131775,,,,,,,
393920,,,,,,,30
393921,,,,,,,37
131778,,,,,,,
393922,,,,,,,0
393927,,,,,,,85
131786,,,,,,,
131787,,,,,,,
131788,,,,,,,
131789,,,,,,,
393931,,,,,,,10
131791,,,,,,,
131792,,,,,,,
393937,45.0,,,,,7,
131794,,,,,,,
131795,,,,,,,
131796,,,,,,,
131797,,,,,,,
131798,,,,,,,
131799,,,,,,,
393936,,,,,,,50
131801,,,,,,,
131802,,,,,,20,
131803,,,,,,,
393940,,,,,,,50
393943,,,,,,,50
131807,,,,,,,
131808,,,,,,,
131811,,,,,,,
131813,,,,,,,
131816,,,,,,,
131817,,,,,,,
131818,,,,,,,
131819,,,,,,,
393963,,,,,,,74
131821,,,,,,,
131822,,,,,,,48
131824,,,,,,,
131825,,,,,,,
393969,,,,,,,0
131829,,,,,,,
393974,50.0,,,,,5,
393973,,,,,,,30
393976,,,,,,,75
131833,,,,,,,
131834,,,,,,,48
131835,,,,,,,
131836,,,,,,,
393981,,,,,,,61
131840,,,,,,,
131841,,,,,,,
393984,,,,,,,33
131844,,,,,,,
131847,,,,,,,
131848,,,,,,,
131849,,,,,,,
393992,,,,,,,40
131851,,,,,,,
131852,,,,,,,
393994,,,,,,,50
131854,,,,,,,
131855,,,,,,,
131856,,,,,,,
131857,,,,,,,
394000,,,,,,,50
131859,,,,,,,
394001,,,,,,,0
394003,,,,,,,80
131862,,,,,,,
131864,,,,,,,
131865,,,,,,,
131866,,,,,,,
131867,,,,,,,
394008,,,,,,,49
394013,,,,,,,69
131870,,,,,,,
131871,40.0,,,,,,
131872,,,,,,,
131873,,,,,,,
131874,,,,,,,
131877,,,,,,,
131878,,,,,,,
131879,,,,,,,
131880,,,,,,,48
131881,,,,,,,
131882,0.0,,,,,,
131884,,,,,,,
131886,,,,,,,
131887,,,,,,,
131888,,,,,,,
131889,,,,,,,
394034,,,,,,,40
131891,,,,,,,
131892,,,,,,,
394035,,,,,,,0
131895,,,,,,,
394040,,,,,,,40
131898,,,,,,,
394042,,,,,,,25
131901,,,,,,,
131902,,,,,,,
394046,,,,,,,0
131904,,,,,,,
131906,,,,,,,
394053,,,,,,,50
131911,,,,,,,
131912,,,,,,,
131915,,,,,,,
131918,,,,,,,
131920,,32,10,,,3,
131921,,,,,,,48
131922,,,,,,,
131923,,,,,,,
131924,,,,,,,
131925,,,,,,,
131926,,,,,,,
131927,,,,,,,
131928,,,,,,,
131929,,,,,,,
263002,0.0,,,40.0,,3,
131930,,,,,,,
131931,,,,,,,
394077,,,,,,,
394078,0.0,35,30,20.0,,6,53
263006,50.0,,,25.0,75,20,55
263008,1.0,,,5.0,,20,77
131933,,,,,,,
131936,,,,,,,
263011,40.0,,,10.0,,20,69
131937,,,,,,,
263013,46.0,,,30.0,,10,
263014,0.0,,,2.0,,5,25
131943,,,,,,,
394088,25.0,,,,,,
394089,,,,,,,
263018,50.0,,,5.0,,10,42
131945,,,,,,,
394092,,,,,,,
131946,,,,,,,
394094,,,,38.0,,10,88
131949,,,,,,,
131950,,,,,,,
525160,,,,,,2,
394098,3.0,20,5,,,,54
131955,,,,,,,
394100,,,,,,10,
394101,50.0,,,,,,
131956,,,,,,,
525166,,,,,,20,
131960,,,,,,,74
131961,,,,,,,
131962,,,,,,,
131963,,,,,,,
131964,,,,,,,
131965,,,,,,9,
131966,,,,,,,
131967,,,,,,,
131968,,,,,,,
131969,,,,,,,
263041,,,,,,,68
131970,,,,,,,
131971,,,,,,,
263045,,,,,,,65
131972,,,,,,,
131973,,,,,,,
131976,,,,,,,
131974,,,,,,,
131975,,,,,,,
131977,,,,,,,
263052,45.0,,,10.0,,0,
131978,,,,,,,
263054,0.0,,,100.0,,15,77
131980,,,,,,,
131981,,,,,,,
263057,0.0,,,10.0,,20,65
131982,,,,,,,
131984,,,,,,,
131985,,,,,,,
263061,30.0,,,50.0,100,20,90
263062,10.0,,,15.0,15,1,70
263063,50.0,,,15.0,,20,50
131986,,,,,,,
263065,44.0,,,10.0,,20,
263066,0.0,,,100.0,,5,75
394139,25.0,38,12,100.0,,,52
263067,25.0,,,20.0,,20,
131990,,,,,,,
394142,50.0,,,,,20,
131991,,,,,,,
131993,,,,,,,
394145,,55,40,100.0,,,31
394146,24.0,,,0.0,,11,
394147,40.0,,,,,18,
131998,,,,,,,
394149,1.0,1,0,0.0,,,17
131999,,,,,,,
132004,,,,,,,
132005,,,,,,,
132008,,,,,,,
132009,,,,,,,
132014,,,,,,,
132015,,,,,,,
132017,,,,,,,
132018,,,,,,,
132020,,,,,,,
132021,,,,,,,
132022,,,,,,,
132023,,,,,,,
132024,,,,,,,
132026,,,,,,,
132027,,,,,,,
132028,,,,,,,
132029,,,,,,,
132031,,,,,,,
132032,,,,,,,
132033,,,,,,,
132034,,,,,,,
263108,,,,,,,
263109,,,,,,,
132036,,,,,,,
132037,,,,,,,
132038,,,,,,,
132039,,,,,,,
132040,,,,,,,
132043,,,,,,,
132045,,,,,,,
132046,,,,,,,
394192,54.0,,,,,10,
132054,,,,,,,48
132055,,,,,,,48
132056,,,,,,,
132058,,,,,,,
132060,,,,,,,
132061,,,,,,,
132064,,,,,,,
132065,,,,,,,
132066,,,,,,,
132067,,,,,,,
132068,,,,,,,
132070,,,,,,,
132072,,,,,,,
132073,,,,,,,
132074,,,,,,,
132075,,,,,,,
132076,,,,,,,
132077,,,,,,,
525297,,,,,,10,
525300,,,,,,7,
132085,,,,,,,
132087,,,,,,,
132088,,,,,,,
394234,,,,,,2,
132092,,,,,,,
132093,,,,,,,48
394238,40.0,,,,,,
132094,,,,,,,
394240,30.0,55,40,,75,,35
394241,,30,40,26.0,,,0
394242,,40,40,100.0,,,31
132096,,,,,,,
132097,,,,,,,
132098,,,,,,,
132099,,,,,,,
132100,,,,,,,
132101,,,,,,,
132104,,,,,,,
132105,,,,,,,
132106,,,,,,,
394252,25.0,,,,,,
525320,,,,,,10,
132110,,,,,,,
394256,,,,,,,50
132126,,,,,,,
132127,,,,,,20,
132131,,,,,,,
394279,,,,,,,
525353,,,,,,15,
132141,,,,,,,
132147,,,,,,,
132150,0.0,,,,,,
132154,43.0,,,,,,
132160,,,,,,,
132165,,,,,,20,
132167,,,,,,,
132172,,,,,,,
132173,,,,,,,
132179,,,,,,,
132180,,,,,,,
132181,,,,,,,
132183,,,,,,,
132185,,,,,,,
263259,27.0,46,40,,,,70
132187,,,,,,,
132190,,,,,,,
132192,,,,,,,
132193,,,,,,,
132194,,,,,,,
132195,,,,,,,
132196,,,,,,,
132197,,,,,,,
132205,,,,,,,
132206,,,,,,,
132207,,,,,,,
132208,,,,,,,
132209,,,,,,,
132211,,,,,,,
132212,,,,,,,
132213,,,,,,,
132214,,,,,,,
132215,,,,,,,
132216,,,,,,,
132217,,,,,,,
132218,,,,,,,
132219,,,,,,,
130486,,,,,,,
132222,,,,,,,
132223,,,,,,,
132224,,,,,,,
132225,,,,,,,
132226,,,,,,,
132228,,,,,,,
132230,,,,,,,
394375,,,,,,9,
132232,,,,,,,
525449,,,,,,,
132235,,,,,,,
394379,,,,,,20,
132237,,,,51.0,,,
132238,,,,,,,
132239,,,,,,,
132241,,,,,,,
132242,,,,,,,
132243,,,,,,,
132244,,,,,,,
132245,,,,,,,
132247,44.0,,,,,,
132248,,,,,,,
132249,,,,,,,
394391,,,,,,0,
443111,,,,,,,10
132255,,,,,,,
132257,,,,,,,
132258,,,,,,,
132259,,,,,,,
132260,,,,,,,
132261,,,,,,,
132263,,,,,,,
132264,,,,,,,
132266,,,,,,,
132267,,,,,,,
132269,35.0,,,,,,
394414,10.0,,,0.0,,20,30
132272,,,,,,,
132275,,,,,,,
132276,,,,,,,
132279,,,,,,,
132280,,,,,,,
132281,,,,,,,
132282,,,,,,,
394427,0.0,,,,,,
132284,,,,,,,
132285,,,,,,,
130499,,,,,,,
132287,,,,,,,
525503,,,,,,,
132289,,,,,,,
525504,,,,,,6,
525505,,,,,,8,
132293,,,,,,,
132294,,,,,,,
130501,,,,,,,
394441,50.0,50,50,50.0,,,70
394442,5.0,,,,,10,
132296,,,,,,,
132298,,,,,,,
132302,,,,,,,
132303,,,,,,,42
132304,,,,,,,
132305,,,,,,,
132309,,,,,,,
132310,,,,,,,
132311,,,,,,,48
132312,,,,,,,
132313,,,,,,,
132315,,,,,,,
132316,,,,,,,
132318,,,,,,,
132319,,,,,,,
132320,,,,,,,
130506,,,,,,,
132322,,,,,,,48
132323,,,,,,,
132325,,,,,,,
132327,,,,,,,
132329,,,,3.0,,,
132330,,,,,,,
132331,,,,,,,
132335,,,,,,,
130509,,,,,,,
132336,,,,,,,
132339,,,,,,,
132348,,,,,,,
132350,,,,,,,
130512,,,,,,,
132352,,,,,,,
132353,,,,,,,
132357,,,,,,,
132358,,,,,,,
132359,,,,,,,
132361,,,,,,,
132363,,,,,,,
132364,,,,,,,
132368,,,,,,,
132370,,,,,,,
132371,,,,,,,
132373,,,,,,,
132374,,,,,,,
132375,,,,,,,
132376,,,,,,,
132377,,,,,,,
132379,,,,,,,
132384,20.0,,,100.0,,,
132392,,,,,,,
525608,,,,,,10,
132399,,,,,,,
132400,,,,,,,
132404,,,,,,,
132407,,,,,,,
132408,,,,,,,
132409,,,,,,,
132410,,,,,,,
132411,0.0,,,,,,
132412,,,,,,,
132414,,,,,,,
132416,,,,,,,
132417,,,,,,,
132418,,,,,,,
132419,,,,,,,
132420,,,,,,,
132421,,,,,,,
132423,,,,,,,
394570,50.0,40,20,50.0,,,70
132426,,,,,,,
132427,,,,,,,
132428,,,,,,,
132429,,,,,,,
132430,,,,,,,
132432,,,,,,,
132433,,,,,,,
132434,,,,,,,
394579,50.0,50,10,50.0,,,49
132435,,,,,,,
263504,,,,,,5,
394582,,0,0,25.0,,,66
132438,0.0,,,,0,,
132440,,,,,,,
132442,,,,,,,
132444,,,,,,,
263516,,,,,,12,
263517,,,,,,20,
132448,0.0,,,,,,
132450,,,,,,,
132451,,,,,,,48
394595,,,,,,,75
132456,,,,,,,35
132457,,,,,,,10
132460,,,,,,2,
132462,,60,40,,,20,
495257,,,,24.0,,5,
132471,,,,,,,
132477,,,,,,,
394629,,,,,,,47
132487,,,,,,,61
132491,,,,0.0,,,
132502,,,,0.0,0,20,
132503,30.0,,,100.0,,15,
132504,,,,,,,
263577,,,,,,20,
263579,,,,,,7,
263580,,,,,,18,
263583,,,,,,15,
132517,50.0,,,50.0,,10,
263590,,,,,,3,
132519,,,,,,,
132520,,,,,,,
263591,,,,,,18,
263592,,,,,,6,
263593,,,,,,20,
263594,,,,,,20,
525738,,,,,,1,
525741,,,,,,11,
525744,,,,,,15,
132530,,,,,,,
132540,,,,,,,
525756,,,,,,0,
394692,0.0,,,,,11,
132556,,,,15.0,,17,
132557,,,,,,,42
394709,,,,,,,0
132566,,,,,,,42
394713,,20,10,,,,
394714,20.0,20,2,,,,
132570,20.0,,,,,,
132569,,,,,,,48
132575,,,,,,,
132577,0.0,,,0.0,0,,
132579,,100,1,,,20,
525795,,,,,,20,
525796,,,,,,20,
394727,,10,5,50.0,,,48
132583,,40,60,,,20,
132584,,,,,,,74
132585,,,,,,,74
132589,,,,,,,
132590,,,,49.0,,,
525805,,,,,,10,
525806,,,,,,0,
132593,,,,34.0,,9,74
132594,,,,,,,42
132595,25.0,,,49.0,,15,
525808,,,,,,8,
132597,,,,,,,74
394742,30.0,35,40,100.0,70,,51
132598,,,,,,10,
132596,,,,,,,35
132603,,,,,,,
525828,,,,,,3,
525829,,,,,,10,
132614,,,,0.0,,,
525831,,,,,,10,
525832,,,,,,,
525833,,,,,,8,
394764,,,,,,0,
132630,,,,,,,
132636,0.0,,,100.0,,,
132637,50.0,,,,,,
132646,10.0,,,95.0,,10,
132649,,,,,,,
394797,,,,,,,35
394798,,,,,,12,
394799,,,,50.0,,8,
132657,25.0,,,35.0,,,
132661,0.0,,,40.0,,20,
132664,,,,20.0,,14,37
263738,,,,,,,50
394811,,49,40,20.0,,,60
263740,,,,,,,40
132669,,,,,,,
132670,31.0,,,1.0,,,
263742,,,,,,,20
263743,,,,,,,30
263744,,,,,,,44
263745,,,,,,,64
132675,,,,,,,
263747,,,,,,,60
394823,49.0,40,49,10.0,,,66
263751,,,,,,,20
263752,,,,,,,55
394826,,50,50,100.0,,,70
263754,,,,,,,35
394829,,,,15.0,,1,
394830,,,,,,12,
263757,,,,,,,49
132688,,,,,,,74
263758,,,,,,,69
263759,,,,,,,60
263760,,,,,,,0
263762,,,,,,,22
263763,,,,,,,30
263764,,,,,,,82
263765,,,,,,,50
263766,,,,,,,25
263767,,,,,,,50
263769,,,,,,,8
132699,,,,100.0,,,
132701,,,,0.0,,,
394845,,,,,,10,
263773,,,,,,,20
525920,,,,,,,
525921,,,,,,5,
525922,,,,,,10,
525923,,,,,,13,
525924,,,,,,5,
525925,,,,,,5,
132710,,,,,,,
525926,,,,,,10,
525927,,,,,,5,
