UserID,Role,Round,totalRound,move,Total,roundResult,gameType
89027,player,1,1,"[45, 45]",100,,ultimatum_strategy
95199,player,1,1,"[30, 20]",100,,ultimatum_strategy
95318,player,1,1,"[50, 50]",100,,ultimatum_strategy
100225,player,1,1,"[50, 50]",100,,ultimatum_strategy
100412,player,1,1,"[16, 12]",100,,ultimatum_strategy
100518,player,1,1,"[50, 50]",100,,ultimatum_strategy
100544,player,1,1,"[50, 50]",100,,ultimatum_strategy
100553,player,1,1,"[30, 5]",100,,ultimatum_strategy
100569,player,1,1,"[50, 48]",100,,ultimatum_strategy
100579,player,1,1,"[55, 51]",100,,ultimatum_strategy
100595,player,1,1,"[50, 50]",100,,ultimatum_strategy
100598,player,1,1,"[33, 41]",100,,ultimatum_strategy
109010,player,1,1,"[50, 50]",100,,ultimatum_strategy
109031,player,1,1,"[50, 50]",100,,ultimatum_strategy
109032,player,1,1,"[35, 40]",100,,ultimatum_strategy
109041,player,1,1,"[55, 45]",100,,ultimatum_strategy
109125,player,1,1,"[45, 40]",100,,ultimatum_strategy
109126,player,1,1,"[45, 40]",100,,ultimatum_strategy
109153,player,1,1,"[50, 40]",100,,ultimatum_strategy
109162,player,1,1,"[49, 50]",100,,ultimatum_strategy
109183,player,1,1,"[50, 50]",100,,ultimatum_strategy
109187,player,1,1,"[35, 20]",100,,ultimatum_strategy
109202,player,1,1,"[45, 40]",100,,ultimatum_strategy
109204,player,1,1,"[57, 56]",100,,ultimatum_strategy
109210,player,1,1,"[49, 40]",100,,ultimatum_strategy
109252,player,1,1,"[50, 49]",100,,ultimatum_strategy
109266,player,1,1,"[50, 50]",100,,ultimatum_strategy
109270,player,1,1,"[49, 45]",100,,ultimatum_strategy
109284,player,1,1,"[50, 50]",100,,ultimatum_strategy
109288,player,1,1,"[40, 1]",100,,ultimatum_strategy
109291,player,1,1,"[50, 51]",100,,ultimatum_strategy
109345,player,1,1,"[50, 66]",100,,ultimatum_strategy
109347,player,1,1,"[60, 40]",100,,ultimatum_strategy
109419,player,1,1,"[50, 50]",100,,ultimatum_strategy
109422,player,1,1,"[39, 50]",100,,ultimatum_strategy
109424,player,1,1,"[50, 50]",100,,ultimatum_strategy
109425,player,1,1,"[50, 50]",100,,ultimatum_strategy
109426,player,1,1,"[49, 51]",100,,ultimatum_strategy
109452,player,1,1,"[69, 25]",100,,ultimatum_strategy
109456,player,1,1,"[40, 40]",100,,ultimatum_strategy
109464,player,1,1,"[50, 47]",100,,ultimatum_strategy
109465,player,1,1,"[35, 20]",100,,ultimatum_strategy
109469,player,1,1,"[50, 40]",100,,ultimatum_strategy
109476,player,1,1,"[50, 45]",100,,ultimatum_strategy
109658,player,1,1,"[45, 30]",100,,ultimatum_strategy
109760,player,1,1,"[40, 51]",100,,ultimatum_strategy
110291,player,1,1,"[35, 50]",100,,ultimatum_strategy
110689,player,1,1,"[50, 50]",100,,ultimatum_strategy
110711,player,1,1,"[45, 45]",100,,ultimatum_strategy
110935,player,1,1,"[27, 21]",100,,ultimatum_strategy
110962,player,1,1,"[50, 25]",100,,ultimatum_strategy
110966,player,1,1,"[49, 11]",100,,ultimatum_strategy
110971,player,1,1,"[50, 50]",100,,ultimatum_strategy
111016,player,1,1,"[50, 50]",100,,ultimatum_strategy
111020,player,1,1,"[55, 35]",100,,ultimatum_strategy
