Dictator,Proposer,Responder,Investor,Banker,Public Goods,Bomb
decision,proposal,decision,decision,investor,group,risk
fairness,decision,fairness,risk,profit,contribution,decision
strategic,player,proposal,investment,decision,benefit,reward
maker,strategic,ensure,potential,ensure,decision,potential
aim,ensure,outcome,return,balance,personal,high
balance,party,benefit,aim,term,collective,maximize
outcome,aim,reflect,balance,strategic,aim,balance
benefit,outcome,strategic,strategic,trust,maximize,gain
ensure,offer,maker,reflect,maximize,balance,aim
choice,fairness,offer,investor,aim,contribute,outcome
reflect,maximize,aim,maximize,future,individual,choice
generosity,acceptance,fair,approach,benefit,strategic,probability
party,benefit,value,choice,gain,outcome,maker
maximize,accept,gain,growth,long,payoff,point
fair,balance,maximize,make,relationship,ensure,strategic
value,fair,balance,ensure,maintain,gain,approach
make,likely,accept,high,return,overall,minimize
consider,consider,prioritize,outcome,foster,make,make
maintain,propose,consider,gain,fairness,return,carefully
prioritize,maker,high,conservative,fair,maker,achieve
self,mutual,secure,maker,banker,high,optimal
resource,negotiator,evaluate,cautious,investment,resource,strategist
advantage,make,rational,trust,encourage,consider,loss
thoughtful,goal,reasonable,maintain,party,success,calculate
slightly,generosity,share,moderate,reflect,prioritize,strategy
generous,likelihood,equitable,reward,cooperation,reflect,optimize
create,focus,achieve,carefully,player,optimize,safety
gain,understand,choice,resource,maker,participant,scenario
positive,generous,substantial,achieve,value,cooperative,avoid
sense,reflect,focus,seek,mutual,approach,ensure
goodwill,gain,receive,balanced,immediate,term,prioritize
strive,cooperation,strong,strategy,outcome,focus,excel
favor,create,scenario,prioritize,consider,carefully,reflect
approach,value,carefully,optimize,ongoing,game,possible
focus,prioritize,self,consider,focus,long,cautious
reasonable,foster,possible,prudent,interaction,potential,conservative
considerate,positive,standard,significant,continue,strategy,significant
scenario,high,sense,invest,collaboration,optimal,consider
equitable,highly,pragmatic,minimize,prioritize,goal,involve
optimize,beneficial,negotiation,calculate,optimize,scenario,focus
foster,understanding,acceptable,prefer,importance,possible,evaluate
involve,reasonable,negotiator,opportunity,positive,effort,favor
seek,importance,personal,thoughtful,goal,enhance,goal
share,empathetic,goal,careful,understand,cooperation,level
balanced,optimize,significant,level,self,collaborative,choose
personal,involve,threshold,substantial,secure,achieve,option
retain,achieve,make,calculated,reward,balanced,success
achieve,self,meet,player,strive,foster,calculated
understand,agreement,maintain,caution,feel,slightly,thinker
offer,perceive,advantageous,small,win,cautious,bold
