,PC1,PC2,PC3,PC4,PC5
investor,-0.25071452622796997,0.3587231425103844,0.042764222846901595,-0.022521949482219694,-0.1666347146671408
profit,-0.2100535435260168,0.15553293582618344,-0.14032735543752484,0.17271159885146034,0.04087824045811423
decision,0.1851721293292239,0.002612145410732014,-0.05675633392616013,0.1014761327717046,0.05360368042277319
ensure,-0.01950561607585838,0.07369291429735414,0.23507855951214726,0.09360475501334131,0.1924541429588006
balance,0.14827318611360502,0.19930328862124114,-0.03607683398457978,0.31070374625958375,0.08961020531937525
term,0.25939579966437987,0.27257626386989814,-0.22907129856229164,-0.29586389128483337,-0.015722904293438533
strategic,0.13448732356296986,0.12397868283931847,-0.16912618602814222,0.22193547476170672,0.01639804903079134
trust,0.19288611200737982,0.19865868732127445,0.13695414267864597,-0.015265229306999223,-0.07199731821492761
maximize,-0.09533180022842032,0.002033364968880769,-0.2738454303557075,0.1631154416621378,0.09274423458474605
aim,0.054350120293599466,0.04752358806893906,0.07185646945388044,0.12634312029746037,0.009800417338666077
future,0.029299261961825168,0.15300983201235405,-0.09041820792764485,0.04003218712801308,0.1679912796700948
benefit,0.2379319199792878,-0.026920653703806464,-0.02999855785982392,-0.1254930856099281,0.01891304942352049
gain,0.023637194641378943,-0.052757504117679085,-0.23984458357017016,-0.10583841589169157,0.3198134852130309
long,0.2647014005405506,0.2753469149981876,-0.22670196078469654,-0.2855968460842352,-0.019597168634787082
relationship,0.14099421684490634,0.20958268905226551,-0.06936716509144397,-0.03919075634572812,-0.19138753436202255
maintain,-0.0029008172689632505,0.025130901829899296,-0.2202433735355513,0.2963071057190798,-0.14403166057995015
return,-0.2345388543230095,0.07332182332901596,0.04943320784592439,-0.03908514727984559,0.010547695030629292
foster,0.15864611382739058,0.14467719730235584,0.16430384383448857,-0.03185122630450382,-0.017952786740574985
fairness,0.17667640196055762,-0.04447228536075349,0.02758988852110833,0.25124617828773355,-0.25297167620868727
fair,0.24341525397241484,0.03002834476196757,0.09628794651930753,0.259801904503005,-0.26761691932170806
banker,-0.1298884638438795,0.20436366815763626,0.021524117311453303,0.018854968964159717,-0.18679854852760663
investment,-0.1841102976406253,0.3244892354785308,-0.01796334140561369,0.037591143027411324,0.026822073649161005
encourage,0.02829606007895591,0.23575748141839106,0.06886292318655804,0.05860985210511274,0.07940118847055722
party,0.14229778396574239,-0.08936708372263548,0.2523309972665536,-0.05027825975906084,0.1423212369901321
reflect,0.06432518139744585,0.09319385094939824,0.013996979945150829,0.2616762883048797,0.04265545074749402
cooperation,0.1694433636420377,-0.0895967749560965,0.05333675281241975,0.04982388284834245,0.16294954504121978
player,0.0824591112957606,-0.14645121055174581,-0.14282703152753917,0.1706202703229475,0.11961441768986367
maker,0.20976584130609244,-0.22195738659177006,-0.02989946707509802,0.061455509285109386,0.124975114355539
value,0.09389700858837834,0.0329070242612172,0.22600485902880305,-0.153653878878363,-0.0636756885424459
mutual,0.21790912611359145,0.053092531342027606,0.12972605567261508,-0.10397880040283246,-0.1130403439251813
immediate,0.05973187913907787,0.11443783822747598,-0.2623554980125486,-0.1453268869679111,0.29723952082608457
outcome,0.14771153922661984,-0.1116488776550243,0.14337269403087102,-0.010912829206633098,-0.003545623633396451
consider,0.14937537261470932,0.04990528240312597,-0.223040276508918,-0.0229521711294179,-0.11604861913928678
ongoing,0.0816266730017615,0.05453292252872116,0.0836437561158199,0.052018752194831375,0.15376197758862686
focus,-0.104189249325014,-0.12487602778370827,-0.12482163773155636,-0.09268041100998148,0.10126678414925702
interaction,0.17509480217272927,-0.1445308574267919,-0.08149897086748675,0.01275333123383754,0.08721631093481026
continue,-0.04703202934561301,0.1286740602627332,0.07281471353571142,0.07320050136806901,0.1813523297558027
collaboration,0.11564980216478837,0.06834728580462357,0.09666585243644943,-0.08432246874625515,0.01472141484878531
prioritize,-0.07505936666616501,-0.1328550832068119,-0.022945009875778927,-0.2128629139093176,-0.11884669790139699
optimize,0.0035292402474717322,-0.04514721275522656,-0.03528362374845509,-0.0345729290012913,0.2042384824389022
importance,0.05670612781276101,0.09446483175264388,0.017362856385244145,0.15930996083136525,0.21061171254140568
positive,0.17053490738082752,-0.006033673013020081,0.02994532066326115,0.004290074492778573,-0.06808646204576611
goal,-0.04020898558667926,-0.0013985164824861854,0.025268341418789537,-0.00014742996438200148,0.003107660562361208
understand,0.05250507427850472,0.14134093788494048,0.0026752752022264174,0.1358362669255454,0.22664114516411651
self,0.062295957901082055,-0.13128338886777177,-0.0042819590001326405,0.20952218133635045,-0.055342794836019005
secure,-0.09672369019692573,-0.028133822013630117,0.07559630754682797,0.03416868159850232,0.04030298892049848
reward,-0.029755298283806166,0.13255959695015931,0.22406516959938452,0.009985148856149387,0.23198563854889806
strive,0.04883583328333033,0.019114950651299045,0.11408111648708139,-0.006203513129072765,0.06217440300829038
feel,0.007087455250363996,0.13253766420178742,0.31280230838840617,-0.0012404469959066073,0.22293241250297563
win,0.03184421067910191,0.03525382392066084,0.11431944410737414,-0.12085401895238108,0.039202805896962026
