,PC1,PC2,PC3,PC4,PC5
risk,-0.00628534707558784,0.0388247166456883,-0.12732411122191897,-0.09259722961329991,-0.17836493664218353
decision,-0.10706201241189733,0.13349502181619471,0.24495355463913976,-0.08166873038859455,0.04124593569890389
reward,-0.22739818362275138,-0.045346226698864955,0.0003843780359552573,-0.08913123622168823,-0.21881600227539602
potential,-0.09217456331443691,0.20129691817239231,-0.021580939767215895,0.06592432839397502,0.22806255152770444
high,0.029265671719066577,-0.17495953045327217,0.23866313714098708,0.11087775502817954,-0.08589467585453167
maximize,-0.2633860259971358,0.03441854527094912,-0.09336763480457361,-0.06322848333494227,0.1853110334144039
balance,-0.23722517164653698,0.028693112980519353,-0.07183733313772234,-0.14431160184934286,-0.11491797212002955
gain,0.05085704230593089,-0.03467704562675622,0.12436207033916213,-0.01536672634581504,0.3102490317368611
aim,-0.07309244212773372,-0.08403213217129293,-0.004740395587872134,-0.2073630855694918,0.0587717193247323
outcome,-0.09647275735922904,0.03023689792249594,0.06673299858890608,0.3142204295530052,0.03267389840570911
choice,0.016440595413764154,0.11405650027084992,0.1947247455278101,-0.09607989941922782,0.08996060213792445
probability,-0.23609476082978914,0.05789368442774544,-0.030617812357088638,0.18293884802699073,0.08517551219229479
maker,0.0341299194243959,0.36489192533302467,0.3542785828961742,-0.04280772026591201,-0.1732523147657455
point,-0.05962036514024933,0.014567731699760025,-0.11501162149327107,-0.18944384627819957,-0.19419858341254462
strategic,-0.24302361560096153,0.24870752710704563,-0.01859502469419525,-0.17565178100121503,0.027633006806088142
approach,-0.007601125248803244,-0.07223867671275758,-0.06989059101100462,-0.11580820906326816,0.13635417311124137
minimize,0.15929777051726218,0.27365711185510805,-0.2264847905523481,0.0736647965240797,0.1990276906982558
make,-0.0077572528601205955,0.2963988155772982,0.3845631619242705,0.004868639343139983,-0.11317942718849502
carefully,-0.15930198483208827,0.23567905707540834,-0.11364843935398401,0.12278716166918809,-0.044763969843778346
achieve,-0.01314833701122295,-0.12467717653671835,0.1827939747850965,0.1120129715885941,0.1398617158360021
optimal,-0.1651079038167137,0.0380968286173527,0.03211548963964017,-0.25903697472447773,0.003593447326907336
strategist,0.09230348305809186,-0.28877873909635565,-0.20311526959750614,0.21762248397830836,0.06360446374630228
loss,0.14292173029863228,0.2551267654094968,-0.14896762865941757,-0.004847112170169907,0.2602749541160976
calculate,-0.18497892039295624,-0.14685979429546506,0.0910070549591191,0.12805317065389077,0.24782232474467075
strategy,0.0657861862240276,-0.10886165847255322,0.22081283066750954,-0.20627283830440957,0.02668317578094774
optimize,-0.14413859261174766,-0.1282718033824362,-0.000264684242215988,0.22414627875328952,-0.12361098887975377
safety,0.19580055621458117,-0.018888306357469034,-0.04473808535699012,0.04792675687391341,-0.0489287923054271
scenario,-0.0780891093707213,0.1469351277541569,-0.036244649596039916,0.10151018827136608,-0.03939886990301353
avoid,0.2585121135493907,0.03272730224739643,-0.01810708890925761,-0.06284472310620294,-0.05215546531152211
ensure,0.19607528697837467,0.045296603978054094,0.0742647055278116,0.08197306851994055,0.12011941130648957
prioritize,0.2825613735565164,0.07513847719275832,0.039640098033729435,0.06316123336736978,0.0428713881407397
excel,-0.09249546528261277,-0.1583462468817485,-0.01686715325123567,-0.11096340113400038,-0.058336874931104905
reflect,0.02000509538079627,-0.05315443348330659,-0.06674419661405978,-0.17405242431368034,0.28758621022346487
possible,-0.06727564862031447,0.024199463871529582,0.15542199277168817,0.20303380005792893,0.16209951369372447
cautious,0.2449006141557951,0.07528382656075444,-0.018356771842286092,-0.05332089985100312,0.08058332118626096
conservative,0.26221429183438544,0.014396389971515433,0.06819160239657154,-0.155048040644255,0.05810393171871496
significant,0.14059235232071893,-0.04557481694567114,0.1163456704395116,-0.20744932236346642,0.05328116205385956
consider,-0.14418046940959425,0.12223323586678535,-0.03510641168858091,0.11287891232947775,0.13913230820561076
involve,-0.036345506726283935,-0.0373360604824423,0.22235087111283375,0.05362223649550785,-0.036428175640679496
focus,0.041628302112424756,-0.006352474611243263,0.11545997651968277,0.03196490001145824,0.061627635285264416
evaluate,-0.11435878766452125,0.1442557901008982,-0.03622542637910345,0.15912097958095905,-0.07881245970512006
favor,0.03938102337715532,-0.18994405910118084,0.07396918723487214,-0.014912694627663174,-0.06948582414727998
goal,-0.07727124960524014,0.09620794185534416,-0.015595005815721225,-0.024084785987309523,-0.04400304183634504
level,-0.0980777943010734,-0.17710631848719122,0.06275985366989117,-0.20581140065640918,0.006445921726390108
choose,0.03983525173881727,-0.0009334745812621286,-0.14510411675816104,0.13159231238350785,-0.1962500934518991
option,0.10163225285086691,0.014628073177779257,-0.08008941357922107,0.20098043948414326,-0.21927605145069423
success,-0.03488285069966308,-0.009553141009109707,0.025822806995528483,0.1383304102900732,0.015407465912434918
calculated,-0.12037817265683956,-0.08057297989908328,0.13611048620621521,0.13518765881428557,0.25087943204586427
thinker,-0.10119872899981101,0.054695670873490726,-0.2613248093792511,-0.2233343004222808,0.19024899916602606
bold,-0.12137561136733607,-0.23460882497404398,0.18603881394059799,-0.028689748860815774,0.11733022751204028
