,PC1,PC2,PC3,PC4,PC5
decision,0.16497952071752395,-0.008197229918786526,0.15481534842010514,0.2411023844682402,0.16505667566597584
fairness,0.3071619460775371,-0.19276991931318269,0.03467760400223047,-0.16423132212279629,0.04279668386337207
strategic,0.1324397887563702,-0.07332630448616809,0.32679042568449485,-0.03267335382385633,-0.13022484923426897
maker,0.13152573645110227,0.0130083989557665,0.2422674119978957,0.41718594104559037,0.3133601940241805
aim,0.14106149210480048,0.016122852505668542,0.0053613103243085325,-0.06075901141801768,-0.05947167863681757
balance,0.34119123988667704,-0.16710501297509273,-0.1167949953558895,-0.04098356281321991,0.09231873704821397
outcome,0.17689710697210542,-0.01928605030346886,0.2618413078012839,-0.12905676388614057,-0.059908264701427835
benefit,-0.0933437838316249,-0.09114409507991583,0.16788974926008038,-0.08312244060842443,-0.04370884216059118
ensure,0.0072826946102779845,-0.06180067073458251,-0.11758371718042376,-0.15186385041466877,0.12609965062254416
choice,0.20358838800237364,0.010476623341701723,0.09868362059598135,0.16775549457966496,-0.043213573782121095
reflect,0.20836560112625385,0.024173283291879785,-0.09324662938754637,0.00838947044032156,-0.015516713329019674
generosity,0.10983943935130161,0.24474274797066728,-0.03635559835912451,-0.04470104966909765,-0.006802698600436772
party,0.03517232309263805,0.06506540420994378,-0.15165938664901726,-0.09647966338630495,0.052805358816763445
maximize,-0.15923342301700705,-0.20881358152247714,0.23263938790709776,-0.06533795161166953,-0.17329612500149522
fair,0.3339683734245812,-0.20860361946103986,-0.02432936687389195,-0.19762250038114487,0.02145394760986709
value,0.06480987537663399,0.1683878461064196,-0.09588120392886529,-0.08239386993209104,0.041805539596563863
make,0.15054859989452096,0.025196283305549932,0.22949920194537354,0.4689583669950934,0.2719206505731003
consider,0.2478064223612229,-0.03754151304315202,-0.021483455831104142,0.10028239829489118,-0.31048994571898586
maintain,-0.0012799055535547338,-0.1250698045435033,0.1343700136419544,-0.1795077120335477,0.15544270465767285
prioritize,-0.14917654910406147,0.01704508077173117,0.04692826134023993,0.12974744237911656,0.015209142906931504
self,0.022227926943516343,-0.1559075881395952,-0.04247851700132511,-0.03858188498388039,0.18088297603850334
resource,-0.09852222513459986,-0.033481772748826584,-0.17033217634326284,0.17292238514673536,0.08106244081888027
advantage,0.012262028524435541,-0.1523653021448555,0.18884077782183692,-0.10743866499175439,0.09332791218943752
thoughtful,0.24322717620739437,0.038200111826038254,-0.12675944099308395,0.09489978778840398,-0.11995771979754655
slightly,0.09465709855027225,0.019008011407895157,-0.08367538194275818,-0.21379129969397523,0.44047146225243194
generous,-0.039640278437893445,0.26015531979603274,-0.08213931832252004,-0.02076868303857283,0.03499475680436983
create,0.0631262754014062,0.26052728949303217,0.11166273239549385,-0.12656632156115138,0.004910203796482597
gain,-0.16932036457118632,-0.22243567171515066,0.10162112752557655,-0.06602713455668775,-0.016454224579564775
positive,0.04719001992441219,0.32437287929336667,0.20902557256001963,-0.09372597974867965,-0.1020737163971799
sense,0.07642655805761185,0.06778986649480301,0.027496196863519944,-0.190934214355722,0.061522702350925496
goodwill,0.038816484291354356,0.377855643192826,0.17134630766366576,-0.12939620540656407,0.11772130900438343
strive,0.09716271426029731,0.04327367807964306,-0.12554155840237682,-0.04760574175055095,-0.018845010527854325
favor,0.04175259228977763,-0.029474802904018268,0.010786343641444193,-0.21093404292465567,0.36013410830700104
approach,0.081452396337671,-0.053715923998695625,-0.1233907144917177,0.13109366266952327,-0.012562045110923889
focus,-0.11844786566900442,-0.11479535738268891,0.12979999000524778,0.047612320861624105,0.03963180745897435
reasonable,0.037648023864215875,-0.15282346229344423,-0.08310105183513179,-0.012604446311384476,0.08591091036352722
considerate,0.13207899918164498,0.04000912938156125,-0.12079316221574823,0.02349809542724818,-0.1989550534658508
scenario,-0.01647120091834888,-0.052629894581253195,0.018145916075290792,0.08693777040273845,-0.1141311625731884
equitable,0.18062950254689414,-0.06740209078882613,-0.12003752169371965,-0.01589000369307201,0.03590109300283278
optimize,0.015330691780948482,-0.1032564949434472,0.1659494941600509,-0.03183662223782094,-0.016830963012282554
foster,0.08313579317395964,0.29911314360111124,0.1963526413992878,-0.08921207657751627,0.050665970898088435
involve,0.1265318798850714,0.007300347074659399,-0.038408876933345194,0.05633371666929182,-0.17196215482269148
seek,-0.01139259229602446,-0.03435414858227024,0.04629867443630551,-0.06894204717106005,0.056741601226454816
share,-0.10680451908207772,0.0171479924259811,-0.20626069755737758,0.0009535728073683213,0.17451457482201152
balanced,0.19075667008712846,-0.03557362913924093,-0.19670008947030906,0.11668387047195003,-0.026593846435994974
personal,-0.05995223573246947,-0.20893204173626637,0.1262482659671676,-0.04332816960416799,-0.043964615921678794
retain,-0.154386621404,-0.02111191376124094,-0.14586760386782965,0.10601059635068825,0.16811592538989367
achieve,0.019574243640798007,-0.15225236252854263,0.12486719756457114,-0.09526827753846542,0.04380432004954395
understand,0.052373321538793476,0.08105697032242518,0.15555688434277848,-0.10543598710408959,-0.01672666080776896
offer,-0.11884166196271967,0.0483304643288517,0.003791305623355272,-0.01108130859465993,0.1102132733250595
