,PC1,PC2,PC3,PC4,PC5
decision,-0.1521305716112296,-0.1610873474080502,-0.009310129729172313,0.20056495835289195,-0.04652288941989551
risk,0.01891534890284119,-0.1626975852887168,0.0891514656145116,0.0272976792820252,0.02996071250625512
investment,0.12092510888887831,0.11867781813089331,0.23299133058705365,0.20788505386071454,-0.2948507254113077
potential,-0.07527604132206486,-0.018653812396353886,-0.08589742222077236,-0.1345939823145469,-0.17329948685964428
return,-0.1019416038442516,0.2559665747093105,0.036661538525733846,0.08515548521374328,-0.15783940600967966
aim,-0.19992114997142985,0.0928579345256929,0.07228848038407826,0.061253016773153035,0.028157087329280447
balance,-0.27218036211970387,-0.03544654254109232,0.27851135124650606,0.022512987797881773,0.10673205324254989
strategic,-0.27242034224092665,0.049275378463818256,-0.08494530360895958,-0.03949078532710548,0.04416642569592946
reflect,-0.11077298040476828,0.06310187213982532,0.1946868624245086,0.20008262863465268,0.08533526615851933
investor,0.12561332378581366,0.31655277755540173,0.29380276447337494,-0.12253613254407769,0.1503241627536095
maximize,-0.16886598360830984,0.18838074791550702,-0.16715005661220067,-0.06812579898618298,-0.13429542381709558
approach,-0.06967097624089129,-0.06037130530698187,0.21175886717950462,0.07986213200912785,-0.045451872552338395
choice,-0.13189674869724938,-0.12674748510657288,0.03697643656320646,0.1660741332259832,-0.013764639576811954
growth,0.0608559043778607,0.1307211523502137,0.1724584711632722,0.11092331480026466,-0.06883670948545127
make,-0.0653555388918072,-0.23210820922056394,-0.11892193588163931,0.3765126465736967,-0.297738874129203
ensure,0.09146453897393149,-0.0799363764966284,0.07668156793304415,0.05726796789117157,0.10758727306959451
high,0.11534836935593001,0.20300168687942532,-0.17863314842753536,0.07807861772900013,-0.1725371681644287
outcome,-0.20344106174782983,-0.08721910250758723,-0.09014158027279294,0.05341217999160968,0.015392392279870392
gain,-0.05997153870953164,-0.02049223743029682,-0.13644641588158823,-0.037324822851161364,-0.07151111406165864
conservative,0.23995576594996132,-0.18028267376659982,0.09165726850169033,0.07326648256258586,0.013238432051755997
maker,-0.07999725211346345,-0.3071739149682227,-0.21406902193669342,0.29013752081568006,-0.29132787243791586
cautious,0.19211768930153775,-0.1876916667631849,0.08977268323771143,0.048050642477066655,0.07568466916636435
trust,-0.16735318764802248,0.11710895805449732,-0.10513574627988459,0.010800837392178688,0.0961697635209531
maintain,-0.07000571209118188,0.07528949552558241,0.008786833340913826,-0.10570769151034905,-0.11583828730573197
moderate,-0.05200609214307722,-0.12652879237551692,0.31997842928815484,0.07575618377718617,-0.022432162571379498
reward,-0.15309925997357327,-0.07501616454678045,0.028432876260357995,-0.10821938397805322,-0.003749478010093751
carefully,-0.17019009955539144,-0.10445685649667028,0.1308572485222295,-0.36277603190111185,-0.28045396198255873
resource,0.1128927924735309,0.08829809925426087,-0.057271709312655135,0.020921270260287277,-0.09556983647457233
achieve,-0.05666970369780034,0.14506582887200914,0.012422672301200467,0.11140018173271807,-0.10048047147795819
seek,0.014088564721075694,0.08004026268535862,0.05931612710153377,0.074565009096853,0.040478140409853175
balanced,-0.12012719613227443,-0.0961359399640515,0.23703878293435932,0.06633521070017646,0.0019128809137936575
strategy,0.05461341232492446,0.009063070583426687,0.2072258766633928,0.14511406302473343,-0.11566705942303886
prioritize,0.184539144280254,-0.10934746274429186,-0.06628111609117567,0.038158670000026776,-0.10302530004639447
optimize,-0.1589018760160591,-0.006547797908782199,0.005255337780159816,0.12268971553517502,0.014995958712098245
consider,-0.18842275983642365,-0.08773912866040057,0.0644145543251751,-0.13634322037832028,-0.11099319847446837
prudent,-0.017521460744152027,-0.026099396225750086,0.19293485162171894,-0.0021088430088664553,-0.06818197641991908
significant,0.02340664571412238,0.2609715556156528,-0.08012989640889441,0.10097425735905169,-0.18743453136331373
invest,0.1483821285967497,0.22933505953652655,0.25805748702759956,0.14102150234672864,-0.21028365043618952
minimize,0.2045367769897644,-0.17244245289081436,0.016173412758867176,-0.0428891395735612,0.035026490122897797
calculate,-0.15025914883605082,0.07502195008160234,-0.045116491013373825,0.2521131646103298,0.27569573109616347
prefer,0.2043486653231907,-0.13978267324812652,0.08798952834648979,0.013485326787640787,0.061049189539661416
opportunity,0.0032536642020624842,0.07890086503619671,-0.08558289373700992,-0.0019924463977011265,-0.17127630330061858
thoughtful,-0.13152494345316137,-0.08864647620208248,0.14130535806385996,0.03152793559182246,0.06132353099285673
careful,-0.14404366465343774,-0.1583404734945003,0.22733094655311764,-0.31304900127290647,-0.2850816429502154
level,-0.08268842929809027,0.09566315089430187,0.008516189247774239,0.020771666016305302,-0.05274563064880717
substantial,-0.01952775249965612,0.23792661663889383,-0.04709278530563697,0.12902685223151047,-0.06428833763615946
calculated,-0.12469254088314191,-0.0009287616051719842,-0.0071449287110052564,0.24450641543777984,0.30838414609000975
player,-0.13547186697552913,-0.016453003887103797,-0.09274311223264227,-0.12385027777666317,0.1362860414501453
caution,-0.03816813576969599,0.02057002361021802,0.08008586761313202,-0.010842654041739593,0.012133364430653031
small,0.27775791274207057,-0.09574008899340795,-0.08465858129782307,-0.07166771050011189,0.024039918214166386
