,PC1,PC2,PC3,PC4,PC5
proposal,-0.041141213064961206,-0.044749461143120506,0.10684203879562051,0.16149325863896818,0.1856841757439439
decision,0.285748166952086,0.22108969894034247,-0.13160443917789416,0.27508140260845526,-0.014272146362245386
player,0.04403206592719311,-0.05150414537274761,-0.06331685450662095,-0.15088937203096892,0.12953717311946203
strategic,0.20128868192392213,-0.009942691592206572,0.13702725111325714,0.008682584533549031,0.1514886714790823
ensure,-0.017118547249086125,0.03980375773512426,0.018866817809106706,-0.018806938020118846,0.12514123996332746
party,-0.019999446854779585,0.19745482877294285,0.08435723084335045,-0.013019887369447924,-0.020957153358511005
aim,0.1201668989100918,-0.022761684766716805,0.09575667571745469,-0.048223962072623416,-0.04971646662257093
outcome,0.13765029432073786,0.1768371745241557,0.08243121061907932,-0.042777745630564495,0.06615339460406913
offer,-0.2257248454776976,-0.1367238614387961,0.03583991218004906,0.1357287977341639,0.03482713340592033
fairness,0.24661113308247806,0.02204050603940843,0.27551278119127265,0.04117391628582099,0.025054118441060633
maximize,0.11534196453605831,-0.04266230717144796,-0.06840350376526377,-0.1292027932789672,0.2002431056622143
acceptance,-0.14230168560609047,-0.06210347661760989,0.16415571699921364,0.15306434132579955,0.4350154999160469
benefit,0.06143011433160155,0.02914186825567422,-0.008215405372054854,-0.020215981181315193,0.08492473219816957
accept,-0.055022392054246055,-0.20883938347184788,0.12907231387428855,0.17610742390064477,0.3477686644734841
balance,0.2527950972348497,-0.19727981594055458,0.19208480477097395,0.0783318829857319,-0.02005993235633237
fair,0.2836652605236811,-0.010141452475160219,0.3189107656256406,-0.03309131884091597,0.0761930838924102
likely,0.12041788342172849,-0.08396122843615615,-0.02477477599680931,-0.02557255309532016,-0.13573677091335962
consider,0.23422214751212725,0.0019152829412161206,0.0015746102524088895,-0.19958821480575378,0.14142741769571449
propose,0.018079742819697323,-0.1327297965866947,0.04468434664116111,-0.025394656362721438,0.022886196932387692
maker,0.24457351477124514,0.19578063928834372,-0.22372999468173815,0.3695951596762635,0.05743347248267011
mutual,0.08615505104539406,0.2435235789955259,0.19764198617790407,-0.11214574158731334,0.11385562376269182
negotiator,-0.2255342167180931,-0.16427099531581157,0.22290402154991423,-0.20898014212104277,-0.07604842050364913
make,0.17539183031087172,0.17410522939464917,-0.2039748190140262,0.40194197955788225,0.08295474090008813
goal,0.02252437701279279,-0.003475912227084387,0.0025172516696239794,-0.07642075677524095,0.212190239660694
generosity,-0.08242734944491219,0.027583379463787076,0.163086223992015,0.14805044362285816,-0.10794978880324359
likelihood,-0.020145737076428683,0.04697572230445889,0.16967835585719124,-0.003098669557830336,0.38007112685434535
focus,-0.04250846819437734,-0.08593567603987151,-0.1539659369068534,0.04974108749850537,0.032957718858539764
understand,-0.09377615117462068,0.003799333050325802,0.3240002418558103,0.2680686080513461,-0.22320660255168742
generous,-0.2030329222138476,0.12493271055130227,0.07072547879038255,0.06643974656847546,0.13568368695610272
reflect,-0.01419117549542918,0.01897496399663264,0.27543011575187054,0.19735473361125266,-0.19196007927900932
gain,0.020712651254726096,-0.12961319470197313,-0.10007814637247996,-0.022166386548925665,-0.007755663001430911
cooperation,0.0488731936423288,0.2988029687412575,0.09319299805306903,-0.15702633710656036,-0.008127086672694066
create,-0.167635686601531,0.13465063746019026,0.10400593708302687,0.071437624584565,0.04703622698805363
value,-0.11226444523007874,0.15435306337133614,0.03006701471132234,0.009322954776885464,-0.12221930863517519
prioritize,-0.13621141034411752,0.12089822545892127,-0.10372666250991561,0.0596283865916029,0.007084285625888247
foster,-0.051763330483312074,0.32910862862279455,0.1128101700533896,-0.12078523857691595,-0.011731169139604612
positive,-0.028160986003525974,0.30985407942385185,0.06930311977082844,-0.09360443205949545,0.01100555455273886
high,-0.2822433119590928,0.14264135321299767,-0.06053864816499273,0.12112148557458133,0.18036041626344895
highly,-0.2501499763838272,0.155910961446528,-0.0735038939165955,0.09685271901571883,0.12520210181849672
beneficial,0.061088051437408294,0.06681106749529596,0.10030180529679623,-0.1275220312411677,0.05919568397203443
understanding,-0.05106953317575916,-0.038528530358694635,0.2699648281934284,0.2481199623147243,-0.18574136437975522
reasonable,0.17427342407097252,-0.09789924848156834,0.03188869053036316,-0.03656439773406376,0.05943460601144829
importance,-0.01249658534937268,0.07356560547970896,0.1733846407836387,0.09578232648437651,-0.12333015652321512
empathetic,-0.012192919548105134,0.20258750222329863,0.10678135841580105,-0.09976168652823951,-0.01149980839434029
optimize,0.04200415685450909,-0.14131310240206882,0.0006696613644427401,0.09798261399278098,0.0926011883092593
involve,0.07307184432781288,0.17942851613425084,0.016269923705402357,-0.0825856431246767,-0.04968606543490721
achieve,0.02620857623260008,-0.05433945781681581,-0.016434709630151614,0.038945721381731774,0.0007417244850017484
self,0.10282792164025598,-0.167172132477026,0.0377935094928341,0.10354380388248935,-0.09914241202849139
agreement,-0.043812453639744536,0.025969704169582948,0.07954750799493568,-0.13166321129302758,0.027870556545547445
perceive,0.015901446072192914,-0.04855163550842985,0.10697338710948429,0.07244042738637546,0.1326937690341029
