,PC1,PC2,PC3,PC4,PC5
group,-0.11150333757849781,0.10917137468539362,0.2082174247890312,0.037382284270552346,-0.028518915770664174
contribution,-0.04709837564162511,0.06448479028168436,0.11877796748138103,0.027566323600263287,0.00824340709752936
benefit,-0.24368270493807048,0.08557822370106863,0.11835503832806318,0.12935256489729693,-0.06586418517775063
decision,-0.127736075950811,-0.21699009238438233,-0.04987369141839426,-0.09735144046744273,-0.265970974072456
personal,-0.03477200936650238,-0.10550312320031552,0.3011448101601494,-0.061439227444289604,-0.14468703545417205
collective,-0.13893407682194248,0.08314299378287204,0.0784497948525521,0.0645652768125993,-0.19966487813105546
aim,-0.09609657354078588,-0.028077230800783393,0.1256451893925596,0.08002700220869165,-0.04301124236588301
maximize,-0.21003892826647744,0.0727818306606904,-0.18642446418068215,0.02693680265257717,0.05439402232357582
balance,-0.17203722361968274,-0.25424418393178294,0.349787842472376,0.11514921620322116,-0.04972882598917537
contribute,0.20981056755502547,-0.004938951569121234,0.03412813815772037,0.035151538753425804,0.05493844973824413
individual,-0.11102154690989319,-0.024626101687869058,0.043827535509760526,-0.04580286059202854,0.18332999524831486
strategic,-0.26707397367122426,-0.11514058517713989,-0.01796407801811898,-0.028037012826456223,0.09217719108920669
outcome,-0.23600729235909368,0.024025488256224532,0.051268124986495925,-0.11750730272075349,-0.13664450377290457
payoff,-0.1630273451944564,0.009729856855938763,-0.01346425396797148,-0.2656627007640422,0.317243482981834
ensure,0.09161700781126784,-0.12334699024507338,0.16192552502326565,0.05475404533406886,-0.087051836330344
gain,-0.12242811606695535,-0.09242060310325104,-0.0048759766729912874,0.1233326766359143,-0.1737795269063317
overall,-0.25515192954845134,0.11564209011531527,-0.0885892083955462,-0.03705751453934006,-0.13332394407658152
make,-0.03911442369739727,-0.20259093441918696,-0.13520338147737848,-0.24516266709278903,-0.3113880537293586
return,-0.2060854283458551,0.074373723291891,-0.03882508746825687,-0.08394344294325451,-0.046477711084373305
maker,-0.005217972170373552,-0.2987379071222232,-0.1784644724912782,-0.22550238801598882,-0.3074704867582366
high,0.006129642089521385,0.3610950834267523,-0.22808393384166173,-0.05268076530359027,-0.15353200379709347
resource,0.28328017092604085,-0.12177330868778125,0.051070319676398794,-0.04433550661451521,0.06279264738182307
consider,-0.2442734497186063,-0.22986500381964603,-0.08855996641584565,0.013668934543577798,0.17720157443181883
success,-0.07733202110131243,0.15258571668367635,0.1012340765585024,0.07153082682264231,-0.15008933113933254
prioritize,0.10870943100347646,-0.012875687208910436,-0.16667057278184563,0.127251163626518,-0.06990915683747956
reflect,-0.015127868505165745,0.04094471897831477,0.17031380168205423,0.12944748807429415,-0.14415428125489943
optimize,-0.08298188488658155,-0.03849718106896719,0.08784577076090494,-0.17035787075989456,0.005457937776019439
participant,-0.08121695114431118,0.15398169592746797,0.09506134146827051,0.1101051135651971,0.29693494314175284
cooperative,-0.058412608318289524,0.17090437578253365,0.04321452419327279,0.03175425017892461,-0.05570427167151736
approach,0.026646804886577207,-0.16420729265220976,0.08643724411083585,0.10687641771580471,-0.10807357567409535
term,-0.13066397682103467,-0.14674268290257,-0.3062207569957814,0.44273308734107336,0.008662534277815687
focus,0.02933995445098401,0.0523720486685635,0.051551003670352175,-0.02000966546543753,0.022635583844345587
carefully,-0.16393505445262618,-0.2279014135189735,0.029983528910534178,-0.07303742986181919,0.1822870473039334
game,-0.10165714599968172,-0.025004356740947267,-0.020352042035924965,-0.09354196863850188,0.3261833263601393
long,-0.1339394871035891,-0.15624403690085847,-0.27382501919334656,0.4585258013229052,0.010460828476267114
potential,-0.17615602653757081,-0.10454167186086977,-0.16090157094869226,-0.233549321405838,0.1652821085628436
strategy,0.15040846668349286,-0.09842251611841893,0.0879046516473879,0.005585548827746138,0.04863803539321082
optimal,-0.15910703996704378,0.01637796373096262,0.16217723079588622,0.014416386939174616,0.03561028964731282
goal,-0.041677439898220946,0.0960192066168273,-0.03254311570301162,-0.1119589755096799,0.02586499588943591
scenario,-0.1005520553365434,-0.07255518914288232,-0.05423403105729326,-0.21951361205593323,-0.05571476194558054
possible,0.07235395738543884,0.23762226524938085,-0.2664536433258772,-0.02448418239715388,-0.07303787372369765
effort,0.1799294267425329,-0.03818689170784078,0.045514231903807004,-0.006926990888931145,0.06841508254039033
enhance,-0.11598849439079147,0.20377809121876073,0.07778480456220484,-0.03111451485130124,-0.13638894836046112
cooperation,-0.014326382379985314,-0.017359607005249193,-0.022962797643200812,0.1345924440261149,0.08655951187830403
collaborative,-0.05420357143396748,0.0005750455266995177,0.020750203557794174,-0.1124348194873593,0.009875951071208724
achieve,-0.07337735551470874,0.19815481370111776,0.04029457532637512,-0.03839476340191026,-0.13959465888981815
balanced,-0.05744449130913157,-0.08614724939924553,0.17674407588976906,0.19527913934079258,-0.020623487581839333
foster,-0.03913801503639538,0.08005833145240714,0.14590330223120734,0.09241274024868007,0.02767395884273112
slightly,-0.013964464695091609,0.13602115425851408,0.19046398250405133,-0.04040672748225804,0.007784560948883752
cautious,0.2441805492131552,-0.2018006052139387,0.04020301260317768,-0.04732638243634052,-0.014835728299861888
