,PC1,PC2,PC3,PC4,PC5
decision,0.22871757167458528,-0.021868827558180676,-0.09729979280835925,0.25120104427923606,-0.20731292581737867
fairness,0.21772669412267665,0.31293657760163823,0.06103766773236324,0.07099931069946447,0.2072835098737686
proposal,-0.07142488253008755,0.02564435364912683,0.1607438487301528,0.19247042252570856,0.24700065355136874
ensure,0.007002131123688762,0.09248453284092416,0.10857879459592426,0.06949767757990072,-0.06293500668218044
outcome,0.07983397074584833,-0.005433068517742723,-0.08566649018902367,-0.046491395404614125,-0.1247182714967627
benefit,-0.008860556612202761,-0.1808493361931589,-0.06998410873291327,0.07818522971721888,0.10613611937055367
reflect,-0.0742118032944162,0.29598292808202653,-0.06787607320473321,0.06294119645297941,-0.06612291663167325
strategic,0.13831951597965503,-0.03407233385900385,-0.06027664985711384,0.03622745515805842,0.14582192064076643
maker,0.2436053956592105,-0.041578154015731714,-0.03710257681252044,0.3971295533489657,-0.26202408455034804
offer,-0.114215139044459,-0.04270700668114197,0.2320611723114234,0.1323943830333869,0.08519860074288314
aim,0.0432208043805957,0.039005656291076156,0.0007876708486116921,-0.08579290791463501,-0.03281669585838577
fair,0.20804881281508583,0.3573209883384596,0.10387063415963328,0.04490044407670158,0.14570286120016876
value,-0.09942609499797549,0.23834749587211454,-0.01156445457462038,0.018339081137690547,-0.06321376349681682
gain,-0.007593569757222384,-0.2035200972537131,0.018629035702110115,-0.013269279799198785,-0.02991358289097508
maximize,0.04630807555531594,-0.22038921177741852,-0.21668561133922082,0.07265394246099482,0.2826211116785388
balance,0.2820967047559849,0.15400433653827286,0.11147640832551067,-0.14322968478518963,0.016112008480730133
accept,-0.03323064266470997,-0.10342561683084249,0.4296059085635127,0.11660799277575407,-0.04940401568856129
prioritize,-0.1251648022021778,-0.0331158272092548,-0.03700336707884063,0.1095165190759489,-0.11976571322940575
consider,0.15451185378282822,-0.07030141814796045,-0.03400085559754087,-0.02468750859276695,0.28146594248456636
high,-0.2746106975755146,-0.1329915462209798,-0.0746628701359359,0.19336080165876005,0.05378715220145953
secure,-0.134856861131234,-0.11552556928608883,0.036786420291935046,-0.05139728691035304,-0.22423564714698369
evaluate,0.05180626878299673,-0.06653471391197588,0.04862957265851082,0.1263967096652012,0.24120628197997104
rational,0.19420294093674217,-0.06936897531841311,-0.14308322482368183,0.02150303406862457,0.1274465030873347
reasonable,0.16045672929619137,0.08608691569080187,0.1801954285508801,-0.10227307818281668,-0.042033628103912694
share,-0.13088608888643408,0.21137888373757843,-0.020757240442733187,0.03198779241860493,-0.11704302079963116
equitable,0.05545981451344533,0.2849519520628031,-0.019235194285828434,0.01346468014766529,-0.004324147294052394
achieve,0.009861780714439244,-0.014262551932397217,0.017459832417273988,-0.06857483239834887,-0.10977254274398084
choice,0.13770319334868872,-0.014464427548717343,-0.2307439998164249,-0.00620981755078151,0.030421647531393238
substantial,-0.2471629271612864,0.13498517836177923,-0.07030530970323388,0.16236603835091443,-0.035205146336572485
focus,0.0044881024537747685,-0.14028381244394686,0.07323178508123218,-0.009504378950518425,-0.09647572134289953
receive,-0.093342316485811,0.1104931694639447,-0.06890171792682227,0.008910218401922403,-0.09123421518205799
strong,-0.2025498545170676,0.15573036671649287,-0.15113603401458087,0.16315928781245384,-0.010991779108138075
scenario,0.03095857900225967,-0.054490935453967056,-0.15657677542434872,0.04914540758349027,0.03900984626614516
carefully,0.12618950752948735,-0.09822313317354958,-0.04449128607771099,0.041441776694693344,0.2894646454285679
self,-0.013165448939229043,0.10798473892343852,-0.14575342719205894,0.06335567102532201,0.13660681945381445
possible,-0.09284637841477819,-0.2859972683508005,-0.17100568572071226,0.016926423185321046,0.023607431086760715
standard,-0.1529423633771582,0.03870958425455853,0.12596474058263557,0.22043457221455373,0.16189262937067844
sense,-0.027464255244374545,0.2065903716914535,-0.09357667516079077,0.14889788847268276,0.045588782140405716
pragmatic,0.09917146575002411,-0.09568255935000058,0.22089679102562548,-0.12838296686818834,-0.23375806390422588
negotiation,-0.09199268780709635,0.014471517324240624,-0.07329904161765005,0.05371776049392835,-0.0506279742422084
acceptable,0.031000376140443722,-0.10429332234232162,0.34982001968979876,0.03565359133268675,-0.06404874433950192
negotiator,-0.24074559485806946,0.07893673244965711,0.07734330756165636,-0.30492176892356004,0.15524752672719003
personal,-0.018534195903176065,-0.029888007717513276,-0.04878441235868394,0.11083374405981104,0.07492400951775068
goal,0.037886258293491425,-0.0779370143321816,0.006237386940382145,0.048958399444389206,0.06598890973829946
significant,-0.28167595891841435,0.08627382455501445,-0.06823755307291365,0.18642181594185164,-0.02781762148738917
threshold,-0.0009409582556412552,-0.06866018082019665,0.3099655312119767,0.1834062280975556,0.07104243237922789
make,0.26472629930317954,-0.05512433629537501,-0.0695751987830131,0.39321651124839274,-0.25180173122037186
meet,-0.09342719498128627,-0.003486786776623534,0.2579865422489742,0.266841192142696,0.19820364195823031
maintain,0.07200980886613406,0.05185288014378424,-0.02881938405066688,0.08353182587606692,0.03813779973905963
advantageous,-0.11035335467867184,0.030807765021601485,-0.04176343799883304,0.06781656318128491,-0.06453708013970114
